DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.10.21,12:00:00,1.11306,1.11539,1.10607,1.1129,59312,0,0
2022.10.21,16:00:00,1.11289,1.12998,1.11171,1.12597,88257,0,0
2022.10.21,20:00:00,1.12604,1.13143,1.12426,1.12932,28183,0,0
2022.10.24,0:00:00,1.13793,1.14083,1.13067,1.13278,34133,0,0
2022.10.24,4:00:00,1.13277,1.13538,1.12999,1.13479,39721,0,1
2022.10.24,8:00:00,1.13478,1.13824,1.13029,1.13264,55250,0,0
2022.10.24,12:00:00,1.13276,1.1349,1.12732,1.13245,59506,0,0
2022.10.24,16:00:00,1.13242,1.13442,1.12579,1.12752,69975,0,0
2022.10.24,20:00:00,1.12755,1.12959,1.12714,1.12767,17161,0,0
2022.10.25,0:00:00,1.12712,1.13255,1.12695,1.13184,19820,0,4
2022.10.25,4:00:00,1.13183,1.13241,1.12921,1.12988,39504,0,1
2022.10.25,8:00:00,1.12991,1.13321,1.12711,1.13206,49395,0,0
2022.10.25,12:00:00,1.13204,1.13641,1.13051,1.13633,41493,0,0
2022.10.25,16:00:00,1.13634,1.14994,1.13629,1.14699,56318,0,0
2022.10.25,20:00:00,1.14695,1.1488,1.14598,1.14693,24412,0,0
2022.10.26,0:00:00,1.14693,1.1476,1.14317,1.14384,17301,0,0
2022.10.26,4:00:00,1.14384,1.14677,1.14302,1.14525,33543,0,0
2022.10.26,8:00:00,1.14525,1.16064,1.14453,1.16003,62494,0,0
2022.10.26,12:00:00,1.16001,1.16203,1.15456,1.15553,64570,0,0
2022.10.26,16:00:00,1.15552,1.16389,1.15439,1.16105,59769,0,0
2022.10.26,20:00:00,1.16108,1.16335,1.15975,1.16267,13655,0,1
2022.10.27,0:00:00,1.16162,1.16451,1.15772,1.16247,12561,0,8
2022.10.27,4:00:00,1.16249,1.16396,1.16046,1.16231,16259,0,1
2022.10.27,8:00:00,1.1623,1.16366,1.15853,1.15904,40674,0,1
2022.10.27,12:00:00,1.15902,1.15956,1.1549,1.15778,46063,0,1
2022.10.27,16:00:00,1.15777,1.16343,1.15567,1.15733,60971,0,0
2022.10.27,20:00:00,1.15734,1.16017,1.15573,1.15629,14766,0,1
2022.10.28,0:00:00,1.15574,1.15739,1.15438,1.15522,8116,0,7
2022.10.28,4:00:00,1.15527,1.15941,1.15477,1.15721,18814,0,1
2022.10.28,8:00:00,1.15722,1.15733,1.15035,1.15269,43401,0,1
2022.10.28,12:00:00,1.15274,1.15751,1.15125,1.15387,47452,0,0
2022.10.28,16:00:00,1.15388,1.16,1.15335,1.15884,53323,0,0
2022.10.28,20:00:00,1.15884,1.16233,1.15827,1.16141,15877,0,4
2022.10.31,0:00:00,1.15858,1.16134,1.15795,1.1594,23578,0,0
2022.10.31,4:00:00,1.15941,1.16097,1.15853,1.15936,29889,0,1
2022.10.31,8:00:00,1.15937,1.16074,1.15427,1.15644,45339,0,0
